Year,Increment,FishID,Length,Capture_age_chron,Collection_year,Cohort,sex,Weight,Increment_age,PDO,SSTv4
1975,0.0627,R140_171,37,15,1988,1973,2,,3,4.681771867,4.681771867
1976,0.0737,R140_171,37,15,1988,1973,2,,4,4.61692252,4.61692252
1977,0.0977,R140_171,37,15,1988,1973,2,,5,5.7243607,5.7243607
1978,0.1161,R140_171,37,15,1988,1973,2,,6,5.5992486,5.5992486
1979,0.1069,R140_171,37,15,1988,1973,2,,7,6.4476407,6.4476407
1980,0.0571,R140_171,37,15,1988,1973,2,,8,5.1286255,5.1286255
1981,0.0848,R140_171,37,15,1988,1973,2,,9,6.2012492,6.2012492
1982,0.0571,R140_171,37,15,1988,1973,2,,10,4.7648766,4.7648766
1983,0.0516,R140_171,37,15,1988,1973,2,,11,5.8634266,5.8634266
1984,0.0498,R140_171,37,15,1988,1973,2,,12,5.44916092,5.44916092
1985,0.0516,R140_171,37,15,1988,1973,2,,13,4.7552367,4.7552367
1986,0.0479,R140_171,37,15,1988,1973,2,,14,5.16935397,5.16935397
1987,0.0534,R140_171,37,15,1988,1973,2,,15,5.8787333,5.8787333
1969,0.0479,R140_3223,40,31,1991,1960,2,,10,5.931678889,5.931678889
1970,0.0424,R140_3223,40,31,1991,1960,2,,11,5.2281568,5.2281568
1971,0.0424,R140_3223,40,31,1991,1960,2,,12,4.366202911,4.366202911
1972,0.0239,R140_3223,40,31,1991,1960,2,,13,4.022677445,4.022677445
1973,0.035,R140_3223,40,31,1991,1960,2,,14,5.160209667,5.160209667
1974,0.0313,R140_3223,40,31,1991,1960,2,,15,5.0031059,5.0031059
1975,0.0239,R140_3223,40,31,1991,1960,2,,16,4.681771867,4.681771867
1976,0.0295,R140_3223,40,31,1991,1960,2,,17,4.61692252,4.61692252
1977,0.0276,R140_3223,40,31,1991,1960,2,,18,5.7243607,5.7243607
1978,0.0424,R140_3223,40,31,1991,1960,2,,19,5.5992486,5.5992486
1979,0.0368,R140_3223,40,31,1991,1960,2,,20,6.4476407,6.4476407
1980,0.0258,R140_3223,40,31,1991,1960,2,,21,5.1286255,5.1286255
1981,0.0239,R140_3223,40,31,1991,1960,2,,22,6.2012492,6.2012492
1982,0.0184,R140_3223,40,31,1991,1960,2,,23,4.7648766,4.7648766
1983,0.0239,R140_3223,40,31,1991,1960,2,,24,5.8634266,5.8634266
1984,0.0313,R140_3223,40,31,1991,1960,2,,25,5.44916092,5.44916092
1985,0.0332,R140_3223,40,31,1991,1960,2,,26,4.7552367,4.7552367
1986,0.0295,R140_3223,40,31,1991,1960,2,,27,5.16935397,5.16935397
1987,0.035,R140_3223,40,31,1991,1960,2,,28,5.8787333,5.8787333
1988,0.0295,R140_3223,40,31,1991,1960,2,,29,5.1758543,5.1758543
1989,0.035,R140_3223,40,31,1991,1960,2,,30,5.29498727,5.29498727
1961,0.0442,R140_3224,37,30,1988,1958,2,,4,4.77995355,4.77995355
1962,0.0424,R140_3224,37,30,1988,1958,2,,5,4.73869153,4.73869153
1963,0.0516,R140_3224,37,30,1988,1958,2,,6,5.265386556,5.265386556
1964,0.0516,R140_3224,37,30,1988,1958,2,,7,4.82454492,4.82454492
1965,0.0461,R140_3224,37,30,1988,1958,2,,8,4.8576374,4.8576374
1966,0.0368,R140_3224,37,30,1988,1958,2,,9,4.81894888,4.81894888
1967,0.0461,R140_3224,37,30,1988,1958,2,,10,6.0441331,6.0441331
1968,0.0534,R140_3224,37,30,1988,1958,2,,11,4.996812,4.996812
1969,0.0479,R140_3224,37,30,1988,1958,2,,12,5.931678889,5.931678889
1970,0.0368,R140_3224,37,30,1988,1958,2,,13,5.2281568,5.2281568
1971,0.035,R140_3224,37,30,1988,1958,2,,14,4.366202911,4.366202911
1972,0.035,R140_3224,37,30,1988,1958,2,,15,4.022677445,4.022677445
1973,0.0424,R140_3224,37,30,1988,1958,2,,16,5.160209667,5.160209667
1974,0.0332,R140_3224,37,30,1988,1958,2,,17,5.0031059,5.0031059
1975,0.0295,R140_3224,37,30,1988,1958,2,,18,4.681771867,4.681771867
1976,0.0295,R140_3224,37,30,1988,1958,2,,19,4.61692252,4.61692252
1977,0.0295,R140_3224,37,30,1988,1958,2,,20,5.7243607,5.7243607
1978,0.0405,R140_3224,37,30,1988,1958,2,,21,5.5992486,5.5992486
1979,0.0497,R140_3224,37,30,1988,1958,2,,22,6.4476407,6.4476407
1980,0.0313,R140_3224,37,30,1988,1958,2,,23,5.1286255,5.1286255
1981,0.0405,R140_3224,37,30,1988,1958,2,,24,6.2012492,6.2012492
1982,0.0111,R140_3224,37,30,1988,1958,2,,25,4.7648766,4.7648766
1983,0.0313,R140_3224,37,30,1988,1958,2,,26,5.8634266,5.8634266
1984,0.0221,R140_3224,37,30,1988,1958,2,,27,5.44916092,5.44916092
1985,0.0239,R140_3224,37,30,1988,1958,2,,28,4.7552367,4.7552367
1986,0.0203,R140_3224,37,30,1988,1958,2,,29,5.16935397,5.16935397
1987,0.0368,R140_3224,37,30,1988,1958,2,,30,5.8787333,5.8787333
1964,0.0572,R140_3225,38,27,1988,1961,2,,4,4.82454492,4.82454492
1965,0.0517,R140_3225,38,27,1988,1961,2,,5,4.8576374,4.8576374
1966,0.0572,R140_3225,38,27,1988,1961,2,,6,4.81894888,4.81894888
1967,0.0867,R140_3225,38,27,1988,1961,2,,7,6.0441331,6.0441331
1968,0.0314,R140_3225,38,27,1988,1961,2,,8,4.996812,4.996812
1969,0.048,R140_3225,38,27,1988,1961,2,,9,5.931678889,5.931678889
1970,0.0332,R140_3225,38,27,1988,1961,2,,10,5.2281568,5.2281568
1971,0.0424,R140_3225,38,27,1988,1961,2,,11,4.366202911,4.366202911
1972,0.0258,R140_3225,38,27,1988,1961,2,,12,4.022677445,4.022677445
1973,0.0424,R140_3225,38,27,1988,1961,2,,13,5.160209667,5.160209667
1974,0.0369,R140_3225,38,27,1988,1961,2,,14,5.0031059,5.0031059
1975,0.0277,R140_3225,38,27,1988,1961,2,,15,4.681771867,4.681771867
1976,0.0314,R140_3225,38,27,1988,1961,2,,16,4.61692252,4.61692252
1977,0.0332,R140_3225,38,27,1988,1961,2,,17,5.7243607,5.7243607
1978,0.0295,R140_3225,38,27,1988,1961,2,,18,5.5992486,5.5992486
1979,0.035,R140_3225,38,27,1988,1961,2,,19,6.4476407,6.4476407
1980,0.0332,R140_3225,38,27,1988,1961,2,,20,5.1286255,5.1286255
1981,0.0369,R140_3225,38,27,1988,1961,2,,21,6.2012492,6.2012492
1982,0.0295,R140_3225,38,27,1988,1961,2,,22,4.7648766,4.7648766
1983,0.035,R140_3225,38,27,1988,1961,2,,23,5.8634266,5.8634266
1984,0.0314,R140_3225,38,27,1988,1961,2,,24,5.44916092,5.44916092
1985,0.035,R140_3225,38,27,1988,1961,2,,25,4.7552367,4.7552367
1986,0.0258,R140_3225,38,27,1988,1961,2,,26,5.16935397,5.16935397
1964,0.0442,R140_3227,35,26,1988,1962,1,,3,4.82454492,4.82454492
1965,0.0571,R140_3227,35,26,1988,1962,1,,4,4.8576374,4.8576374
1966,0.0681,R140_3227,35,26,1988,1962,1,,5,4.81894888,4.81894888
1967,0.0976,R140_3227,35,26,1988,1962,1,,6,6.0441331,6.0441331
1968,0.0239,R140_3227,35,26,1988,1962,1,,7,4.996812,4.996812
1969,0.0847,R140_3227,35,26,1988,1962,1,,8,5.931678889,5.931678889
1970,0.0479,R140_3227,35,26,1988,1962,1,,9,5.2281568,5.2281568
1971,0.0516,R140_3227,35,26,1988,1962,1,,10,4.366202911,4.366202911
1972,0.0552,R140_3227,35,26,1988,1962,1,,11,4.022677445,4.022677445
1973,0.0681,R140_3227,35,26,1988,1962,1,,12,5.160209667,5.160209667
1974,0.081,R140_3227,35,26,1988,1962,1,,13,5.0031059,5.0031059
1975,0.046,R140_3227,35,26,1988,1962,1,,14,4.681771867,4.681771867
1976,0.0497,R140_3227,35,26,1988,1962,1,,15,4.61692252,4.61692252
1977,0.0534,R140_3227,35,26,1988,1962,1,,16,5.7243607,5.7243607
1978,0.0681,R140_3227,35,26,1988,1962,1,,17,5.5992486,5.5992486
1979,0.0442,R140_3227,35,26,1988,1962,1,,18,6.4476407,6.4476407
1980,0.0423,R140_3227,35,26,1988,1962,1,,19,5.1286255,5.1286255
1981,0.0571,R140_3227,35,26,1988,1962,1,,20,6.2012492,6.2012492
1982,0.0313,R140_3227,35,26,1988,1962,1,,21,4.7648766,4.7648766
1983,0.0516,R140_3227,35,26,1988,1962,1,,22,5.8634266,5.8634266
1984,0.0368,R140_3227,35,26,1988,1962,1,,23,5.44916092,5.44916092
1985,0.0313,R140_3227,35,26,1988,1962,1,,24,4.7552367,4.7552367
1986,0.0239,R140_3227,35,26,1988,1962,1,,25,5.16935397,5.16935397
1987,0.0423,R140_3227,35,26,1988,1962,1,,26,5.8787333,5.8787333
1968,0.0792,R140_3230,37,22,1988,1966,1,,3,4.996812,4.996812
1969,0.0645,R140_3230,37,22,1988,1966,1,,4,5.931678889,5.931678889
1970,0.059,R140_3230,37,22,1988,1966,1,,5,5.2281568,5.2281568
1971,0.0516,R140_3230,37,22,1988,1966,1,,6,4.366202911,4.366202911
1972,0.0369,R140_3230,37,22,1988,1966,1,,7,4.022677445,4.022677445
1973,0.0682,R140_3230,37,22,1988,1966,1,,8,5.160209667,5.160209667
1974,0.0442,R140_3230,37,22,1988,1966,1,,9,5.0031059,5.0031059
1975,0.0387,R140_3230,37,22,1988,1966,1,,10,4.681771867,4.681771867
1976,0.0442,R140_3230,37,22,1988,1966,1,,11,4.61692252,4.61692252
1977,0.0479,R140_3230,37,22,1988,1966,1,,12,5.7243607,5.7243607
1978,0.0608,R140_3230,37,22,1988,1966,1,,13,5.5992486,5.5992486
1979,0.0479,R140_3230,37,22,1988,1966,1,,14,6.4476407,6.4476407
1980,0.0332,R140_3230,37,22,1988,1966,1,,15,5.1286255,5.1286255
1981,0.0571,R140_3230,37,22,1988,1966,1,,16,6.2012492,6.2012492
1982,0.0516,R140_3230,37,22,1988,1966,1,,17,4.7648766,4.7648766
1983,0.0553,R140_3230,37,22,1988,1966,1,,18,5.8634266,5.8634266
1984,0.0313,R140_3230,37,22,1988,1966,1,,19,5.44916092,5.44916092
1985,0.0498,R140_3230,37,22,1988,1966,1,,20,4.7552367,4.7552367
1986,0.0369,R140_3230,37,22,1988,1966,1,,21,5.16935397,5.16935397
1987,0.0442,R140_3230,37,22,1988,1966,1,,22,5.8787333,5.8787333
1971,0.0354,R140_3231,31,19,1988,1969,2,,3,4.366202911,4.366202911
1972,0.0339,R140_3231,31,19,1988,1969,2,,4,4.022677445,4.022677445
1973,0.0516,R140_3231,31,19,1988,1969,2,,5,5.160209667,5.160209667
1974,0.056,R140_3231,31,19,1988,1969,2,,6,5.0031059,5.0031059
1975,0.0383,R140_3231,31,19,1988,1969,2,,7,4.681771867,4.681771867
1976,0.0177,R140_3231,31,19,1988,1969,2,,8,4.61692252,4.61692252
1977,0.0442,R140_3231,31,19,1988,1969,2,,9,5.7243607,5.7243607
1978,0.0428,R140_3231,31,19,1988,1969,2,,10,5.5992486,5.5992486
1979,0.0339,R140_3231,31,19,1988,1969,2,,11,6.4476407,6.4476407
1980,0.0265,R140_3231,31,19,1988,1969,2,,12,5.1286255,5.1286255
1981,0.0162,R140_3231,31,19,1988,1969,2,,13,6.2012492,6.2012492
1982,0.0118,R140_3231,31,19,1988,1969,2,,14,4.7648766,4.7648766
1983,0.0265,R140_3231,31,19,1988,1969,2,,15,5.8634266,5.8634266
1984,0.0177,R140_3231,31,19,1988,1969,2,,16,5.44916092,5.44916092
1985,0.028,R140_3231,31,19,1988,1969,2,,17,4.7552367,4.7552367
1986,0.0265,R140_3231,31,19,1988,1969,2,,18,5.16935397,5.16935397
1987,0.031,R140_3231,31,19,1988,1969,2,,19,5.8787333,5.8787333
1969,0.0793,R140_3232,35,20,1988,1968,1,,2,5.931678889,5.931678889
1970,0.0866,R140_3232,35,20,1988,1968,1,,3,5.2281568,5.2281568
1971,0.0424,R140_3232,35,20,1988,1968,1,,4,4.366202911,4.366202911
1972,0.0332,R140_3232,35,20,1988,1968,1,,5,4.022677445,4.022677445
1973,0.0534,R140_3232,35,20,1988,1968,1,,6,5.160209667,5.160209667
1974,0.0221,R140_3232,35,20,1988,1968,1,,7,5.0031059,5.0031059
1975,0.0221,R140_3232,35,20,1988,1968,1,,8,4.681771867,4.681771867
1976,0.0221,R140_3232,35,20,1988,1968,1,,9,4.61692252,4.61692252
1977,0.0515,R140_3232,35,20,1988,1968,1,,10,5.7243607,5.7243607
1978,0.0276,R140_3232,35,20,1988,1968,1,,11,5.5992486,5.5992486
1979,0.0663,R140_3232,35,20,1988,1968,1,,12,6.4476407,6.4476407
1980,0.035,R140_3232,35,20,1988,1968,1,,13,5.1286255,5.1286255
1981,0.0313,R140_3232,35,20,1988,1968,1,,14,6.2012492,6.2012492
1982,0.0129,R140_3232,35,20,1988,1968,1,,15,4.7648766,4.7648766
1983,0.0313,R140_3232,35,20,1988,1968,1,,16,5.8634266,5.8634266
1984,0.0203,R140_3232,35,20,1988,1968,1,,17,5.44916092,5.44916092
1985,0.0258,R140_3232,35,20,1988,1968,1,,18,4.7552367,4.7552367
1986,0.0276,R140_3232,35,20,1988,1968,1,,19,5.16935397,5.16935397
1987,0.0258,R140_3232,35,20,1988,1968,1,,20,5.8787333,5.8787333
1970,0.0884,R140_3233,38,20,1988,1968,2,,3,5.2281568,5.2281568
1971,0.07,R140_3233,38,20,1988,1968,2,,4,4.366202911,4.366202911
1972,0.0516,R140_3233,38,20,1988,1968,2,,5,4.022677445,4.022677445
1973,0.0681,R140_3233,38,20,1988,1968,2,,6,5.160209667,5.160209667
1974,0.0681,R140_3233,38,20,1988,1968,2,,7,5.0031059,5.0031059
1975,0.0553,R140_3233,38,20,1988,1968,2,,8,4.681771867,4.681771867
1976,0.0442,R140_3233,38,20,1988,1968,2,,9,4.61692252,4.61692252
1977,0.0424,R140_3233,38,20,1988,1968,2,,10,5.7243607,5.7243607
1978,0.046,R140_3233,38,20,1988,1968,2,,11,5.5992486,5.5992486
1979,0.0479,R140_3233,38,20,1988,1968,2,,12,6.4476407,6.4476407
1980,0.0387,R140_3233,38,20,1988,1968,2,,13,5.1286255,5.1286255
1981,0.0368,R140_3233,38,20,1988,1968,2,,14,6.2012492,6.2012492
1982,0.0239,R140_3233,38,20,1988,1968,2,,15,4.7648766,4.7648766
1983,0.0258,R140_3233,38,20,1988,1968,2,,16,5.8634266,5.8634266
1969,0.0664,R140_3234,37,22,1988,1966,1,,4,5.931678889,5.931678889
1970,0.0683,R140_3234,37,22,1988,1966,1,,5,5.2281568,5.2281568
1971,0.0387,R140_3234,37,22,1988,1966,1,,6,4.366202911,4.366202911
1972,0.0369,R140_3234,37,22,1988,1966,1,,7,4.022677445,4.022677445
1973,0.0498,R140_3234,37,22,1988,1966,1,,8,5.160209667,5.160209667
1974,0.0553,R140_3234,37,22,1988,1966,1,,9,5.0031059,5.0031059
1975,0.0369,R140_3234,37,22,1988,1966,1,,10,4.681771867,4.681771867
1976,0.0424,R140_3234,37,22,1988,1966,1,,11,4.61692252,4.61692252
1977,0.0461,R140_3234,37,22,1988,1966,1,,12,5.7243607,5.7243607
1978,0.0369,R140_3234,37,22,1988,1966,1,,13,5.5992486,5.5992486
1979,0.0424,R140_3234,37,22,1988,1966,1,,14,6.4476407,6.4476407
1980,0.0369,R140_3234,37,22,1988,1966,1,,15,5.1286255,5.1286255
1981,0.0461,R140_3234,37,22,1988,1966,1,,16,6.2012492,6.2012492
1982,0.024,R140_3234,37,22,1988,1966,1,,17,4.7648766,4.7648766
1983,0.0313,R140_3234,37,22,1988,1966,1,,18,5.8634266,5.8634266
1984,0.0461,R140_3234,37,22,1988,1966,1,,19,5.44916092,5.44916092
1985,0.0387,R140_3234,37,22,1988,1966,1,,20,4.7552367,4.7552367
1986,0.0332,R140_3234,37,22,1988,1966,1,,21,5.16935397,5.16935397
1987,0.0295,R140_3234,37,22,1988,1966,1,,22,5.8787333,5.8787333
1969,0.0756,R140_3235,39,23,1988,1965,2,,5,5.931678889,5.931678889
1970,0.0627,R140_3235,39,23,1988,1965,2,,6,5.2281568,5.2281568
1971,0.0461,R140_3235,39,23,1988,1965,2,,7,4.366202911,4.366202911
1972,0.0609,R140_3235,39,23,1988,1965,2,,8,4.022677445,4.022677445
1973,0.059,R140_3235,39,23,1988,1965,2,,9,5.160209667,5.160209667
1974,0.0498,R140_3235,39,23,1988,1965,2,,10,5.0031059,5.0031059
1975,0.0442,R140_3235,39,23,1988,1965,2,,11,4.681771867,4.681771867
1976,0.0516,R140_3235,39,23,1988,1965,2,,12,4.61692252,4.61692252
1977,0.0553,R140_3235,39,23,1988,1965,2,,13,5.7243607,5.7243607
1978,0.0387,R140_3235,39,23,1988,1965,2,,14,5.5992486,5.5992486
1979,0.0442,R140_3235,39,23,1988,1965,2,,15,6.4476407,6.4476407
1980,0.0313,R140_3235,39,23,1988,1965,2,,16,5.1286255,5.1286255
1981,0.0369,R140_3235,39,23,1988,1965,2,,17,6.2012492,6.2012492
1982,0.024,R140_3235,39,23,1988,1965,2,,18,4.7648766,4.7648766
1983,0.024,R140_3235,39,23,1988,1965,2,,19,5.8634266,5.8634266
1984,0.035,R140_3235,39,23,1988,1965,2,,20,5.44916092,5.44916092
1985,0.0276,R140_3235,39,23,1988,1965,2,,21,4.7552367,4.7552367
1986,0.0258,R140_3235,39,23,1988,1965,2,,22,5.16935397,5.16935397
1987,0.0258,R140_3235,39,23,1988,1965,2,,23,5.8787333,5.8787333
1970,0.0755,R140_3237,32,22,1989,1967,,,4,5.2281568,5.2281568
1971,0.0644,R140_3237,32,22,1989,1967,,,5,4.366202911,4.366202911
1972,0.0534,R140_3237,32,22,1989,1967,,,6,4.022677445,4.022677445
1973,0.046,R140_3237,32,22,1989,1967,,,7,5.160209667,5.160209667
1974,0.0516,R140_3237,32,22,1989,1967,,,8,5.0031059,5.0031059
1975,0.0387,R140_3237,32,22,1989,1967,,,9,4.681771867,4.681771867
1976,0.0184,R140_3237,32,22,1989,1967,,,10,4.61692252,4.61692252
1977,0.0405,R140_3237,32,22,1989,1967,,,11,5.7243607,5.7243607
1978,0.0644,R140_3237,32,22,1989,1967,,,12,5.5992486,5.5992486
1979,0.035,R140_3237,32,22,1989,1967,,,13,6.4476407,6.4476407
1980,0.0331,R140_3237,32,22,1989,1967,,,14,5.1286255,5.1286255
1981,0.0442,R140_3237,32,22,1989,1967,,,15,6.2012492,6.2012492
1982,0.0313,R140_3237,32,22,1989,1967,,,16,4.7648766,4.7648766
1983,0.035,R140_3237,32,22,1989,1967,,,17,5.8634266,5.8634266
1984,0.0239,R140_3237,32,22,1989,1967,,,18,5.44916092,5.44916092
